"ts","throughput_bps"
2026-06-10 09:12:54.000 +0700,24340960
2026-06-10 09:12:55.000 +0700,25344592
2026-06-10 09:12:56.000 +0700,24617824
2026-06-10 09:12:57.000 +0700,24698576
2026-06-10 09:12:58.000 +0700,25044656
2026-06-10 09:12:59.000 +0700,23729552
2026-06-10 09:13:00.000 +0700,25021584
2026-06-10 09:13:01.000 +0700,24640896
2026-06-10 09:13:02.000 +0700,26590480
2026-06-10 09:13:03.000 +0700,23533440
2026-06-10 09:13:04.000 +0700,25056192
2026-06-10 09:13:05.000 +0700,20904704
2026-06-10 09:13:06.000 +0700,25529168
2026-06-10 09:13:07.000 +0700,23637264
2026-06-10 09:13:08.000 +0700,25044656
2026-06-10 09:13:09.000 +0700,25298448
2026-06-10 09:13:10.000 +0700,25367664
2026-06-10 09:13:11.000 +0700,22564416
2026-06-10 09:13:12.000 +0700,25171552
2026-06-10 09:13:13.000 +0700,23856448
2026-06-10 09:13:14.000 +0700,27063456
2026-06-10 09:13:15.000 +0700,23602656
2026-06-10 09:13:16.000 +0700,26071360
2026-06-10 09:13:17.000 +0700,25356128
2026-06-10 09:13:18.000 +0700,23579584
2026-06-10 09:13:19.000 +0700,24260208
2026-06-10 09:13:20.000 +0700,24629360
2026-06-10 09:13:21.000 +0700,22714384
2026-06-10 09:13:22.000 +0700,24606288
2026-06-10 09:13:23.000 +0700,25090800
2026-06-10 09:13:24.000 +0700,21145488
2026-06-10 09:13:25.000 +0700,25552240
2026-06-10 09:13:26.000 +0700,5435664
2026-06-10 09:13:27.000 +0700,24306352
2026-06-10 09:13:28.000 +0700,22241408
2026-06-10 09:13:29.000 +0700,26763520
2026-06-10 09:13:30.000 +0700,25194624
2026-06-10 09:13:31.000 +0700,23948736
2026-06-10 09:13:32.000 +0700,25125408
2026-06-10 09:13:33.000 +0700,24860080
2026-06-10 09:13:34.000 +0700,23844912
2026-06-10 09:13:35.000 +0700,23614192
2026-06-10 09:13:36.000 +0700,23164288
2026-06-10 09:13:37.000 +0700,21756896
2026-06-10 09:13:38.000 +0700,24929296
2026-06-10 09:13:39.000 +0700,23106608
2026-06-10 09:13:40.000 +0700,24490928
2026-06-10 09:13:41.000 +0700,24975440
2026-06-10 09:13:42.000 +0700,25298448
2026-06-10 09:13:43.000 +0700,25136944
2026-06-10 09:13:44.000 +0700,26348224
