"ts","throughput_bps"
2026-06-13 19:33:12.000 +0700,38334128
2026-06-13 19:33:11.000 +0700,38426416
2026-06-13 19:33:10.000 +0700,38334128
2026-06-13 19:33:09.000 +0700,38207232
2026-06-13 19:33:08.000 +0700,24446992
2026-06-13 19:33:07.000 +0700,37872688
2026-06-13 19:33:06.000 +0700,38530240
2026-06-13 19:33:05.000 +0700,38449488
2026-06-13 19:33:04.000 +0700,38080336
2026-06-13 19:33:03.000 +0700,38668672
2026-06-13 19:33:02.000 +0700,38784032
2026-06-13 19:33:01.000 +0700,38149552
2026-06-13 19:33:00.000 +0700,38414880
2026-06-13 19:32:59.000 +0700,38380272
2026-06-13 19:32:58.000 +0700,38449488
2026-06-13 19:32:57.000 +0700,38472560
2026-06-13 19:32:56.000 +0700,22508944
2026-06-13 19:32:55.000 +0700,38287984
2026-06-13 19:32:54.000 +0700,38576384
2026-06-13 19:32:53.000 +0700,38587920
2026-06-13 19:32:52.000 +0700,38830176
2026-06-13 19:32:51.000 +0700,37722720
2026-06-13 19:32:50.000 +0700,38391808
2026-06-13 19:32:49.000 +0700,38230304
2026-06-13 19:32:48.000 +0700,38195696
2026-06-13 19:32:47.000 +0700,38311056
2026-06-13 19:32:46.000 +0700,37988048
2026-06-13 19:32:45.000 +0700,23119616
2026-06-13 19:32:44.000 +0700,21364672
2026-06-13 19:32:43.000 +0700,37930368
2026-06-13 19:32:42.000 +0700,38714816
2026-06-13 19:32:41.000 +0700,40006848
2026-06-13 19:32:40.000 +0700,40029920
2026-06-13 19:32:39.000 +0700,39972240
2026-06-13 19:32:38.000 +0700,38934000
2026-06-13 19:32:37.000 +0700,39037824
2026-06-13 19:32:36.000 +0700,36811376
2026-06-13 19:32:35.000 +0700,2122496
2026-06-13 19:32:34.000 +0700,2122496
2026-06-13 19:32:33.000 +0700,3185328
2026-06-13 19:32:32.000 +0700,2123552
2026-06-13 19:32:31.000 +0700,2123552
2026-06-13 19:32:30.000 +0700,3185328
2026-06-13 19:32:29.000 +0700,2123552
2026-06-13 19:32:28.000 +0700,3185856
2026-06-13 19:32:27.000 +0700,2123552
2026-06-13 19:32:26.000 +0700,3184272
2026-06-13 19:32:25.000 +0700,2122496
2026-06-13 19:32:24.000 +0700,3184800
2026-06-13 19:32:23.000 +0700,2124608
2026-06-13 19:32:22.000 +0700,2124608
2026-06-13 19:32:21.000 +0700,3186912
2026-06-13 19:32:20.000 +0700,2124080
2026-06-13 19:32:19.000 +0700,3186912
2026-06-13 19:32:18.000 +0700,2124608
2026-06-13 19:32:17.000 +0700,3186384
2026-06-13 19:32:16.000 +0700,2124608
2026-06-13 19:32:15.000 +0700,2125136
2026-06-13 19:32:14.000 +0700,3187968
2026-06-13 19:32:13.000 +0700,2125136
2026-06-13 19:32:12.000 +0700,3187968
2026-06-13 19:32:11.000 +0700,2126192
2026-06-13 19:32:10.000 +0700,3191136
